MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,ORIGIN_AIRPORT_ID,ORIGIN,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,
1,1,5,2016-01-01,11433,DTW,1935,1935,0,0,0,
1,1,5,2016-01-01,10397,ATL,2125,2130,5,5,0,
1,1,5,2016-01-01,12892,LAX,2255,2256,1,1,0,
1,1,5,2016-01-01,14869,SLC,1656,1700,4,4,0,
1,1,5,2016-01-01,10849,BZN,900,1012,72,72,1,
1,1,5,2016-01-01,10397,ATL,1233,1356,83,83,1,
1,1,5,2016-01-01,10693,BNA,1320,1446,86,86,1,
1,1,5,2016-01-01,10397,ATL,945,946,1,1,0,
1,1,5,2016-01-01,12451,JAX,1145,1144,-1,0,0,
1,1,5,2016-01-01,10397,ATL,2110,2107,-3,0,0,
1,1,5,2016-01-01,13487,MSP,1115,1113,-2,0,0,
1,1,5,2016-01-01,12892,LAX,2255,2248,-7,0,0,
1,1,5,2016-01-01,10397,ATL,1510,1509,-1,0,0,
1,1,5,2016-01-01,13230,MDT,1737,1727,-10,0,0,
1,1,5,2016-01-01,14869,SLC,2345,2341,-4,0,0,
1,1,5,2016-01-01,14685,SAV,1408,1403,-5,0,0,
1,1,5,2016-01-01,10792,BUF,615,612,-3,0,0,
1,1,5,2016-01-01,12953,LGA,1100,1100,0,0,0,
1,1,5,2016-01-01,10397,ATL,1340,1337,-3,0,0,
1,1,5,2016-01-01,14193,PNS,1435,1431,-4,0,0,
1,1,5,2016-01-01,10397,ATL,2007,2014,7,7,0,
1,1,5,2016-01-01,13487,MSP,1300,1256,-4,0,0,
1,1,5,2016-01-01,11278,DCA,1656,1650,-6,0,0,
1,1,5,2016-01-01,11066,CMH,1123,1117,-6,0,0,
1,1,5,2016-01-01,11433,DTW,1950,1950,0,0,0,
1,1,5,2016-01-01,11259,DAL,1005,1016,11,11,0,
1,1,5,2016-01-01,14869,SLC,955,955,0,0,0,
1,1,5,2016-01-01,10397,ATL,1454,1451,-3,0,0,
1,1,5,2016-01-01,13244,MEM,1600,1555,-5,0,0,
1,1,5,2016-01-01,13303,MIA,1130,1130,0,0,0,
1,1,5,2016-01-01,11292,DEN,1912,1912,0,0,0,
1,1,5,2016-01-01,10397,ATL,1957,1956,-1,0,0,
1,1,5,2016-01-01,10397,ATL,1045,1047,2,2,0,
1,1,5,2016-01-01,14747,SEA,1620,1621,1,1,0,
1,1,5,2016-01-01,11697,FLL,1230,1230,0,0,0,
1,1,5,2016-01-01,10529,BDL,1420,1420,0,0,0,
1,1,5,2016-01-01,10397,ATL,2156,2157,1,1,0,
1,1,5,2016-01-01,14747,SEA,745,742,-3,0,0,
1,1,5,2016-01-01,12953,LGA,830,829,-1,0,0,
1,1,5,2016-01-01,10397,ATL,1450,1450,0,0,0,
1,1,5,2016-01-01,14492,RDU,1100,1104,4,4,0,
1,1,5,2016-01-01,14122,PIT,1115,1111,-4,0,0,
1,1,5,2016-01-01,11697,FLL,1959,2016,17,17,1,
1,1,5,2016-01-01,10397,ATL,1407,1407,0,0,0,
1,1,5,2016-01-01,14986,SRQ,1620,1619,-1,0,0,
1,1,5,2016-01-01,13487,MSP,1425,1514,49,49,1,
1,1,5,2016-01-01,12892,LAX,1730,1729,-1,0,0,
1,1,5,2016-01-01,11298,DFW,1420,1506,46,46,1,
1,1,5,2016-01-01,10397,ATL,1030,1031,1,1,0,
1,1,5,2016-01-01,14730,SDF,1230,1228,-2,0,0,
1,1,5,2016-01-01,13487,MSP,2158,2158,0,0,0,
1,1,5,2016-01-01,12953,LGA,1800,1817,17,17,1,
1,1,5,2016-01-01,10397,ATL,2100,2058,-2,0,0,
1,1,5,2016-01-01,10397,ATL,2224,2219,-5,0,0,
1,1,5,2016-01-01,10397,ATL,1549,1555,6,6,0,
1,1,5,2016-01-01,14524,RIC,1800,1753,-7,0,0,
1,1,5,2016-01-01,12889,LAS,1115,1115,0,0,0,
1,1,5,2016-01-01,11641,FAY,1000,959,-1,0,0,
1,1,5,2016-01-01,11193,CVG,930,924,-6,0,0,
1,1,5,2016-01-01,10397,ATL,2045,2044,-1,0,0,
1,1,5,2016-01-01,13930,ORD,856,929,33,33,1,
1,1,5,2016-01-01,13495,MSY,1513,1508,-5,0,0,
1,1,5,2016-01-01,11433,DTW,1520,1521,1,1,0,
1,1,5,2016-01-01,10693,BNA,800,758,-2,0,0,
1,1,5,2016-01-01,12892,LAX,1100,1055,-5,0,0,
1,1,5,2016-01-01,11066,CMH,626,623,-3,0,0,
1,1,5,2016-01-01,10397,ATL,1625,1629,4,4,0,
1,1,5,2016-01-01,14869,SLC,1110,1105,-5,0,0,
1,1,5,2016-01-01,10713,BOI,1308,1302,-6,0,0,
1,1,5,2016-01-01,14869,SLC,1105,1105,0,0,0,
1,1,5,2016-01-01,14524,RIC,1050,1046,-4,0,0,
1,1,5,2016-01-01,11618,EWR,1240,1231,-9,0,0,
1,1,5,2016-01-01,10397,ATL,1815,1813,-2,0,0,
1,1,5,2016-01-01,14747,SEA,1015,1014,-1,0,0,
1,1,5,2016-01-01,12953,LGA,1010,1121,71,71,1,
1,1,5,2016-01-01,11433,DTW,1536,1533,-3,0,0,
1,1,5,2016-01-01,10397,ATL,2050,2047,-3,0,0,
1,1,5,2016-01-01,14869,SLC,940,943,3,3,0,
1,1,5,2016-01-01,10397,ATL,941,942,1,1,0,
1,1,5,2016-01-01,12441,JAC,1245,1246,1,1,0,
1,1,5,2016-01-01,11066,CMH,1742,1739,-3,0,0,
1,1,5,2016-01-01,11986,GRR,615,614,-1,0,0,
1,1,5,2016-01-01,10397,ATL,1615,1639,24,24,1,
1,1,5,2016-01-01,11066,CMH,1821,1836,15,15,1,
1,1,5,2016-01-01,12889,LAS,745,737,-8,0,0,
1,1,5,2016-01-01,12889,LAS,1754,1752,-2,0,0,
1,1,5,2016-01-01,12758,KOA,2244,2259,15,15,1,
1,1,5,2016-01-01,14027,PBI,1225,1222,-3,0,0,
1,1,5,2016-01-01,13303,MIA,1315,1309,-6,0,0,
1,1,5,2016-01-01,10397,ATL,1102,1058,-4,0,0,
1,1,5,2016-01-01,14193,PNS,1157,1155,-2,0,0,
1,1,5,2016-01-01,12892,LAX,2350,2355,5,5,0,
1,1,5,2016-01-01,10397,ATL,945,945,0,0,0,
1,1,5,2016-01-01,11624,EYW,1216,1215,-1,0,0,
1,1,5,2016-01-01,10397,ATL,2210,2209,-1,0,0,
1,1,5,2016-01-01,10821,BWI,1921,1916,-5,0,0,
1,1,5,2016-01-01,12892,LAX,2225,2218,-7,0,0,
1,1,5,2016-01-01,13198,MCI,1821,1818,-3,0,0,
1,1,5,2016-01-01,11193,CVG,800,759,-1,0,0,
1,1,5,2016-01-01,11697,FLL,1120,1115,-5,0,0,
1,1,5,2016-01-01,14869,SLC,2010,1958,-12,0,0,
1,1,5,2016-01-01,10397,ATL,2040,2033,-7,0,0,
1,1,5,2016-01-01,10397,ATL,915,912,-3,0,0,
1,1,5,2016-01-01,14576,ROC,1158,1151,-7,0,0,
1,1,5,2016-01-01,12953,LGA,1055,1111,16,16,1,
1,1,5,2016-01-01,10397,ATL,1050,1046,-4,0,0,
1,1,5,2016-01-01,15304,TPA,1345,1341,-4,0,0,
1,1,5,2016-01-01,14869,SLC,1525,1523,-2,0,0,
1,1,5,2016-01-01,14869,SLC,1725,1722,-3,0,0,
1,1,5,2016-01-01,10397,ATL,2216,2212,-4,0,0,
1,1,5,2016-01-01,10397,ATL,1812,1809,-3,0,0,
1,1,5,2016-01-01,14869,SLC,1655,1655,0,0,0,
1,1,5,2016-01-01,11433,DTW,1955,2005,10,10,0,
1,1,5,2016-01-01,14027,PBI,1945,1940,-5,0,0,
1,1,5,2016-01-01,11292,DEN,1205,1204,-1,0,0,
1,1,5,2016-01-01,10397,ATL,1704,1740,36,36,1,
1,1,5,2016-01-01,14122,PIT,1923,1955,32,32,1,
1,1,5,2016-01-01,10397,ATL,1930,1930,0,0,0,
1,1,5,2016-01-01,10397,ATL,1145,1143,-2,0,0,
1,1,5,2016-01-01,10397,ATL,1124,1134,10,10,0,
1,1,5,2016-01-01,11433,DTW,1234,1236,2,2,0,
1,1,5,2016-01-01,10397,ATL,1445,1705,140,140,1,
1,1,5,2016-01-01,14747,SEA,1740,1729,-11,0,0,
1,1,5,2016-01-01,10397,ATL,2055,2055,0,0,0,
1,1,5,2016-01-01,10994,CHS,1646,1643,-3,0,0,
1,1,5,2016-01-01,10397,ATL,1905,1907,2,2,0,
1,1,5,2016-01-01,10397,ATL,1235,1234,-1,0,0,
1,1,5,2016-01-01,14869,SLC,2200,2154,-6,0,0,
1,1,5,2016-01-01,10397,ATL,1056,1053,-3,0,0,
1,1,5,2016-01-01,14027,PBI,1421,1417,-4,0,0,
1,1,5,2016-01-01,11433,DTW,1950,2053,63,63,1,
1,1,5,2016-01-01,12892,LAX,2330,2340,10,10,0,
1,1,5,2016-01-01,13796,OAK,604,557,-7,0,0,
1,1,5,2016-01-01,10397,ATL,2159,2158,-1,0,0,
1,1,5,2016-01-01,10397,ATL,1914,1911,-3,0,0,
1,1,5,2016-01-01,12892,LAX,1015,1016,1,1,0,
1,1,5,2016-01-01,14107,PHX,800,753,-7,0,0,
1,1,5,2016-01-01,10397,ATL,1459,1458,-1,0,0,
1,1,5,2016-01-01,12451,JAX,1700,1658,-2,0,0,
1,1,5,2016-01-01,11193,CVG,1420,1419,-1,0,0,
