ID,NAME,LATITUDE,LONGITUDE,TIMEZONE
00100,M89,-93.06583,-93.06583,-6
00101,KQHT,74.483,74.483,6
00102,IAN,-160.433,-160.433,-9
00103,IWK,-168.1,-168.1,-9
00104,FSP,-154.367,-154.367,-9
00105,MDM,-162.033,-162.033,-9
00106,IIK,-161.233,-161.233,-9
00107,KNW,-157.333,-157.333,-9
00108,SCM,-165.567,-165.567,-9
00109,MBA,-159.05,-159.05,-9
00110,OUL,-161.167,-161.167,-9
00111,2C7,-161.224,-161.224,-9
00112,JZZ,-157.267,-157.267,-9
00113,D76,-161.022,-161.022,-9
00114,8S0,-113.117,-113.117,-7
00115,L35,-116.854,-116.854,-8
00116,FYG,-91,-91,-6
00117,O54,-122.922,-122.922,-8
00118,TMK,-123.817,-123.817,-8
00119,CLS,-122.983,-122.983,-8
00120,JFZ,-81.8,-81.8,-5
00121,RYN,-111.167,-111.167,-7
00122,UCP,-80.417,-80.417,-5
00123,SMK,-162.11,-162.11,-9
00124,W29,-76.333,-76.333,-5
00125,BDH,-95.133,-95.133,-6
00126,2W6,-76.55,-76.55,-5
00127,BEA,-97.717,-97.717,-6
00128,HOE,-82.767,-82.767,-5
00129,HRX,-102.333,-102.333,-6
00130,PEZ,-98.517,-98.517,-6
00131,UNI,-82.233,-82.233,-5
00132,Y50,-89.3,-89.3,-6
00133,CCA,-92.45,-92.45,-6
00134,CWC,-98.483,-98.483,-6
00135,DVO,-122.55,-122.55,-8
00136,MQS,-75.867,-75.867,-5
00137,AXX,-105.29,-105.29,-7
00138,1M4,-87.6,-87.6,-6
00139,4I3,-82.517,-82.517,-5
00140,FFX,-86,-86,-5
00141,IDP,-95.778,-95.778,-6
00142,PTS,-94.733,-94.733,-6
00143,SYF,-101.8,-101.8,-6
00144,DVK,-84.77,-84.77,-5
00145,I39,-84.333,-84.333,-5
00146,IOB,-83.983,-83.983,-5
00148,BXA,-89.867,-89.867,-6
00149,HFJ,-94.017,-94.017,-6
00150,GWR,-97.633,-97.633,-6
00151,CDA,-72.017,-72.017,-5
00152,FSO,-73.1,-73.1,-5
00153,FCI,-77.517,-77.517,-5
00154,PVG,-76.45,-76.45,-5
00155,XSA,-76.883,-76.883,-5
00156,JFX,-87.314,-87.314,-6
00157,33V,-106.267,-106.267,-7
00158,AJZ,-108.067,-108.067,-7
00159,ANK,-106.05,-106.05,-7
00160,BDU,-105.217,-105.217,-7
00161,EIK,-105.05,-105.05,-7
00162,FMM,-103.8,-103.8,-7
00163,HEQ,-102.267,-102.267,-7
00164,LMO,-105.167,-105.167,-7
00165,PSO,-107.05,-107.05,-7
00166,RYW,-97.967,-97.967,-6
00167,GWB,-85.067,-85.067,-5
00168,STK,-103.267,-103.267,-7
00169,SNC,-72.506,-72.506,-5
00170,05U,-116,-116,-8
00171,CXP,-119.733,-119.733,-8
00172,HHW,-95.533,-95.533,-6
