CODE,NAME,WBAN
12953,LGA,14732
11697,FLL,12849
13930,ORD,94846
11433,DTW,94847
11298,DFW,03927
10792,BUF,14733
10257,ALB,14735
14576,ROC,14768
11618,EWR,14734
15096,SYR,14771
11278,DCA,13743
12478,JFK,94789
11292,DEN,03017
12266,IAH,12960
14771,SFO,23234
12892,LAX,23174
10397,ATL,13874
12197,HPN,94745
14107,PHX,23183
11057,CLT,13881
10721,BOS,14739
12889,LAS,23169
14843,SJU,11641
14679,SAN,23188
13303,MIA,12839
10423,AUS,13904
14747,SEA,24233
13204,MCO,12815
14027,PBI,12844
14635,RSW,12894
14869,SLC,24127
13495,MSY,12916
15304,TPA,12842
14492,RDU,13722
13487,MSP,14922
11042,CLE,14820
11537,ELM,14748
14524,RIC,13740
15016,STL,13994
10693,BNA,13897
11066,CMH,14821
10821,BWI,93721
11259,DAL,13960
12391,ISP,04781
13232,MDW,14819
